Refactor,リファクタリング / 改善,代码重构
Feature,フィーチャー / 特徴,功能特性
Document,ドキュメント / 文書,文档
Breaking Changes,破壊的変更 / 変更,破坏性更改
Code Review,コードレビュー / コード検証,代码审查
Commit,コミット / 提出,提交（版本）
Version Control,バージョンコントロール / 版本管理,版本控制
Agile,アジャイル / 敏捷,敏捷开发
Frontend,フロントエンド / 前端,前端
Technical Stack,テクニカルスタック / 技術スタック,技术栈
Render,レンダー / 描画,渲染
Function,ファンクション / 機能,功能
Functional,ファンクショナル / 機能的,功能性的
AI (Artificial Intelligence),AI(アーアイ) / 人工知能,人工智能
Class,クラス / クラス,类
Dimension,ディメンション / 寸法,维度
Object,オブジェクト / 物体,对象
License,ライセンス / 許可,许可证
Element,エレメント / 元素,元素
Parameter,パラメータ / パラメーター,参数
Argument,アーギュメント / 引数,参数
Request (HTTP),リクエスト / 要求,请求（HTTP）
Get,ゲット / 取得,获取
Post,ポスト / 投稿,发布
Put,プット / 置く,更新（覆盖）
Delete,デリート / 削除,删除
Storage,ストレージ / 貯蔵,存储
Drive,ドライブ / 駆動,驱动器
Harddisk,ハードディスク / ハードディスク,硬盘
Virtual Machine,バーチャルマシン / 仮想マシン,虚拟机
Programme,プログラム / 番組,程序
Compiler,コンパイラ / 編集者,编译器
Interpreter,インタプリタ / 通訳者,解释器
Vision (Graphic),ビジョン / 視覚,视觉（图形）
Constructor,コンストラクター / 建設者,构造器
Destructor,デストラクター / 破壊者,析构器
Operation System,オペレーションシステム / 操作システム,操作系统
Data Structure,データ構造,数据结构
Tree,木構造,树（数据结构里的）
Linked List,連結リスト,链表
Traversal,トラバーサル,遍历
Graph,グラフ,图
Array,配列,数组
Loop,ループ,循环
Binary Tree,二分木,二叉树
Display,ディスプレイ,显示
Inclusion,インクルージョン,包含
Vector,ベクター,向量
AVL Tree,AVL木,平衡二叉树
Tile,タイル,瓦
Matrix,行列,矩阵
Red-Black Tree,赤黒木,红黑树
Cloud,クラウド,云（云计算的云
Sorting,ソーティング,排序
Node,ノード,结点
Algorithm,アルゴリズム,算法
Edge,エッジ,边缘
Discrete Mathematics,離散数学,离散数学
Device,デバイス,设备
Queue,キュー,队列
Learning Rate (AI),学習率 (AI),学习率（AI）
Driver,ドライバー,驱动程序
Find Peak/Valley,ピーク/バレーを見つける,寻找顶点/谷底
Push/Pop,プッシュ/ポップ,入栈/出栈
Static/Dynamic,静的/動的,静态/动态
Registry Manager,レジストリマネージャー,注册表管理器
Module,モジュール,模块
Library,ライブラリ,库
Package,パッケージ,包
Toolchain,ツールチェーン,工具链
Workflow,ワークフロー,工作流
Type,タイプ,类型
Variable/Constant,変数/定数,变量/常量
Grid,グリッド,网格
Stack Top,スタックトップ,栈顶
Stack Bottom,スタックボトム,栈底
List,リスト,列表
Debug,デバッグ,调试
Raster,ラスター,栅格
Input,インプット,输入
Output,アウトプット,输出
